,y1,y2,f1,f2
88,181,132,29241,2601
11,104,132,8836,676
44,137,132,16129,49
42,135,132,15625,25
109,202,232,36864,5184
100,193,132,33489,3969
3,239,232,52441,11881
19,112,132,10404,324
91,184,132,30276,2916
40,133,132,15129,9
125,218,232,43264,7744
57,150,132,19600,400
60,153,132,20449,529
43,136,132,15876,36
22,115,132,11025,225
23,116,132,11236,196
14,107,132,9409,529
95,188,132,31684,3364
47,140,132,16900,100
135,228,232,47524,9604
82,175,132,27225,2025
138,231,232,48841,10201
92,185,132,30625,3025
85,178,132,28224,2304
20,113,132,10609,289
12,105,132,9025,625
76,169,132,25281,1521
33,126,132,13456,16
134,227,232,47089,9409
35,128,132,13924,4
122,215,232,42025,7225
105,198,132,35344,4624
126,219,232,43681,7921
106,199,132,35721,4761
27,120,132,12100,100
74,167,132,24649,1369
80,173,132,26569,1849
114,207,232,38809,5929
72,165,132,24025,1225
21,114,132,10816,256
96,189,132,32041,3481
116,209,232,39601,6241
64,157,132,21609,729
73,166,132,24336,1296
129,222,232,44944,8464
118,211,232,40401,6561
127,220,232,44100,8100
63,156,132,21316,676
97,190,132,32400,3600
31,124,132,12996,36
37,130,132,14400,0
45,138,132,16384,64
139,232,232,49284,10404
84,177,132,27889,2209
117,210,232,40000,6400
104,197,132,34969,4489
123,216,232,42436,7396
53,146,132,18496,256
130,223,232,45369,8649
46,139,132,16641,81
90,183,132,29929,2809
7,100,132,8100,900
30,123,132,12769,49
54,147,132,18769,289
110,203,232,37249,5329
124,217,232,42849,7569
49,142,132,17424,144
133,226,232,46656,9216
18,111,132,10201,361
102,195,132,34225,4225
41,134,132,15376,16
120,213,232,41209,6889
141,234,232,50176,10816
13,106,132,9216,576
25,118,132,11664,144
6,242,232,53824,12544
99,192,132,33124,3844
67,160,132,22500,900
131,224,232,45796,8836
119,212,232,40804,6724
128,221,232,44521,8281
111,204,232,37636,5476
65,158,132,21904,784
5,241,232,53361,12321
89,182,132,29584,2704
121,214,232,41616,7056
103,196,132,34596,4356
78,171,132,25921,1681
10,103,132,8649,729
16,109,132,9801,441
94,187,132,31329,3249
93,186,132,30976,3136
83,176,132,27556,2116
62,155,132,21025,625
38,131,132,14641,1
48,141,132,17161,121
75,168,132,24964,1444
69,162,132,23104,1024
71,164,132,23716,1156
36,129,132,14161,1
15,108,132,9604,484
8,101,132,8281,841
1,237,232,51529,11449
55,148,132,19044,324
113,206,232,38416,5776
17,110,132,10000,400
50,143,132,17689,169
132,225,232,46225,9025
70,163,132,23409,1089
24,117,132,11449,169
28,121,132,12321,81
4,240,232,52900,12100
32,125,132,13225,25
66,159,132,22201,841
56,149,132,19321,361
26,119,132,11881,121
136,229,232,47961,9801
0,236,232,51076,11236
98,191,132,32761,3721
107,200,232,36100,4900
108,201,232,36481,5041
137,230,232,48400,10000
61,154,132,20736,576
140,233,232,49729,10609
51,144,132,17956,196
29,122,132,12544,64
112,205,232,38025,5625
115,208,232,39204,6084
52,145,132,18225,225
9,102,132,8464,784
68,161,132,22801,961
59,152,132,20164,484
2,238,232,51984,11664
87,180,132,28900,2500
58,151,132,19881,441
86,179,132,28561,2401
81,174,132,26896,1936
34,127,132,13689,9
142,235,232,50625,11025
101,194,132,33856,4096
79,172,132,26244,1764
77,170,132,25600,1600
39,132,132,14884,4
