,var1,var2,obj1,obj2
0,23,390,36290,4970
1,199,192,31824,3549
2,65,420,36290,4970
3,197,132,35532,4692
4,70,278,22240,2920
5,69,132,8190,870
6,198,388,40748,6818
7,201,388,42235,7435
8,96,388,36290,4970
9,65,390,36290,4970
10,455,135,53592,12432
11,71,268,22240,2920
12,70,36,11303,833
13,167,420,37776,5586
14,69,132,8190,870
15,329,132,40047,6627
16,97,388,36290,4970
17,82,148,8190,870
18,332,388,53592,12432
19,135,132,15984,1569
20,67,390,36290,4970
21,66,166,8607,747
22,259,135,35532,4692
23,78,270,22240,2920
24,219,386,45207,8667
25,67,36,11303,833
26,70,391,36290,4970
27,197,134,35532,4692
28,76,416,36290,4970
29,85,400,36290,4970
30,389,133,53592,12432
31,265,134,35532,4692
32,257,132,35532,4692
33,71,400,36290,4970
34,65,259,22240,2920
35,453,263,53592,12432
36,333,259,53592,12432
37,78,388,36290,4970
38,97,389,36290,4970
39,198,416,37776,5586
40,201,134,35532,4692
41,196,133,35532,4692
42,323,132,40047,6627
43,296,132,37789,5659
44,173,14,34155,4215
45,329,132,40047,6627
46,10,196,13667,1577
47,263,134,35532,4692
48,151,386,36290,4970
49,365,132,46819,9529
50,87,196,12212,1232
51,83,132,8617,757
52,327,384,53592,12432
53,326,140,40047,6627
54,197,36,34384,4294
55,67,388,36290,4970
56,105,10,16103,1133
57,256,193,52216,11776
58,132,6,34155,4215
59,73,142,8190,870
60,321,132,40047,6627
61,199,132,35532,4692
62,349,388,53592,12432
63,195,5,34384,4294
64,359,134,46819,9529
65,100,132,9045,645
66,72,4,13703,983
67,210,98,35532,4692
68,70,146,8190,870
69,325,388,53592,12432
70,321,149,40047,6627
71,137,260,22240,2920
72,258,260,48543,10098
73,268,388,48046,9916
74,135,387,36290,4970
75,263,140,35532,4692
76,73,130,8190,870
77,72,140,8190,870
78,325,7,39817,6547
79,453,384,53592,12432
80,199,149,35532,4692
81,326,148,40047,6627
82,71,20,13703,983
83,71,276,22240,2920
84,145,452,36290,4970
85,263,164,44504,8534
86,74,396,36290,4970
87,70,128,8190,870
88,78,196,8792,692
89,198,388,40748,6818
90,323,140,40047,6627
91,73,196,8792,692
92,454,135,53592,12432
93,11,386,36290,4970
94,270,324,48046,9916
95,198,132,35532,4692
96,325,390,53592,12432
97,133,140,15984,1569
98,329,276,53592,12432
99,10,290,22240,2920
100,22,388,36290,4970
101,259,390,48046,9916
102,71,448,36290,4970
103,320,450,53592,12432
104,327,388,53592,12432
105,98,133,9045,645
106,143,388,36290,4970
107,39,1,13703,983
108,70,389,36290,4970
109,67,132,8190,870
110,324,128,40047,6627
111,269,322,48046,9916
112,323,166,40047,6627
113,257,98,35532,4692
114,65,140,8190,870
115,73,132,8190,870
116,205,387,42235,7435
117,451,135,53592,12432
118,457,131,53592,12432
119,71,390,36290,4970
120,73,133,8190,870
121,242,288,48543,10098
122,65,140,8190,870
123,143,132,15984,1569
124,17,388,36290,4970
125,5,388,36290,4970
126,174,69,29196,2646
127,337,132,40047,6627
128,70,390,36290,4970
129,67,114,8190,870
130,83,386,36290,4970
131,333,390,53592,12432
132,103,454,36290,4970
133,193,132,35532,4692
134,323,128,40047,6627
135,324,261,53592,12432
136,197,140,35532,4692
137,71,262,22240,2920
138,342,130,40047,6627
139,263,385,48046,9916
140,72,132,8190,870
